name,date,fight_id,win/loss,method,body,body_attempts,clinch,clinch_attempts,distance,distance_attempts,ground,ground_attempts,head,head_attempts,knockdowns,leg,leg_attempts,location,pass,referee,reversals,round,sig_attempts,sig_strikes,strike_attempts,strikes,sub_attempts,takedowns,td_attempts,title
Bobby Green,"February 02, 2013",2145,W,Submission,14,19,9,9,17,44,28,37,34,64,0,6,7,"Las Vegas, Nevada, USA",4,Kim Winslow,2,3,90,54,106,69,1,1,1,UFC 156: Aldo vs Edgar
Yves Edwards,"February 02, 2013",2146,L,Decision,14,20,12,17,46,98,0,0,32,82,0,12,13,"Las Vegas, Nevada, USA",4,Yves Lavigne,0,3,115,58,125,64,0,1,3,UFC 156: Aldo vs Edgar
Isaac Vallie-Flagg,"February 02, 2013",2146,W,Decision,18,27,24,43,52,179,0,0,47,180,0,11,15,"Las Vegas, Nevada, USA",0,Yves Lavigne,0,3,222,76,284,129,0,0,0,UFC 156: Aldo vs Edgar
Chico Camus,"February 02, 2013",2147,L,Submission,4,5,3,3,15,31,5,7,12,28,0,7,8,"Las Vegas, Nevada, USA",0,Herb Dean,1,3,41,23,55,34,0,1,3,UFC 156: Aldo vs Edgar
Dustin Kimura,"February 02, 2013",2147,W,Submission,3,4,2,3,9,44,5,9,13,50,0,0,2,"Las Vegas, Nevada, USA",3,Herb Dean,1,3,56,16,67,26,5,0,0,UFC 156: Aldo vs Edgar
Edwin Figueroa,"February 02, 2013",2148,L,KO/TKO,4,8,1,2,19,89,4,6,18,85,1,2,4,"Las Vegas, Nevada, USA",0,Kim Winslow,0,2,97,24,109,36,0,1,1,UFC 156: Aldo vs Edgar
Francisco Rivera,"February 02, 2013",2148,W,KO/TKO,8,12,2,3,44,115,5,9,25,89,1,18,26,"Las Vegas, Nevada, USA",1,Kim Winslow,0,2,127,51,131,54,0,2,2,UFC 156: Aldo vs Edgar
Demetrious Johnson,"January 26, 2013",2149,W,Decision,29,44,73,84,51,158,3,5,70,154,0,28,49,"Chicago, Illinois, USA",0,John McCarthy,0,5,247,127,303,181,0,5,15,UFC on Fox: Johnson vs Dodson
John Dodson,"January 26, 2013",2149,L,Decision,23,35,16,22,40,133,1,1,25,109,1,9,12,"Chicago, Illinois, USA",0,John McCarthy,0,5,156,57,170,71,0,1,4,UFC on Fox: Johnson vs Dodson
Rampage Jackson,"January 26, 2013",2150,L,Decision,5,5,4,11,49,158,0,0,45,161,0,3,3,"Chicago, Illinois, USA",0,Herb Dean,0,3,169,53,170,54,0,0,4,UFC on Fox: Johnson vs Dodson
Glover Teixeira,"January 26, 2013",2150,W,Decision,9,14,9,13,48,131,23,35,70,164,1,1,1,"Chicago, Illinois, USA",5,Herb Dean,0,3,179,80,207,103,0,5,5,UFC on Fox: Johnson vs Dodson
Anthony Pettis,"January 26, 2013",2151,W,KO/TKO,4,6,0,0,16,26,2,2,13,21,1,1,1,"Chicago, Illinois, USA",0,Robert Madrigal,0,1,28,18,28,18,0,0,0,UFC on Fox: Johnson vs Dodson
Donald Cerrone,"January 26, 2013",2151,L,KO/TKO,1,2,0,0,4,12,0,0,2,8,0,1,2,"Chicago, Illinois, USA",0,Robert Madrigal,0,1,12,4,12,4,0,0,0,UFC on Fox: Johnson vs Dodson
Erik Koch,"January 26, 2013",2152,L,KO/TKO,2,3,2,2,12,42,0,0,9,37,0,3,4,"Chicago, Illinois, USA",0,John McCarthy,0,2,44,14,55,25,0,0,0,UFC on Fox: Johnson vs Dodson
Ricardo Lamas,"January 26, 2013",2152,W,KO/TKO,7,9,7,7,10,29,15,20,18,36,0,7,11,"Chicago, Illinois, USA",0,John McCarthy,0,2,56,32,65,40,0,2,8,UFC on Fox: Johnson vs Dodson
TJ Grant,"January 26, 2013",2153,W,KO/TKO,15,18,20,24,25,54,9,15,37,73,1,2,2,"Chicago, Illinois, USA",0,John McCarthy,0,1,93,54,96,56,0,0,0,UFC on Fox: Johnson vs Dodson
Matt Wiman,"January 26, 2013",2153,L,KO/TKO,2,5,2,6,16,51,0,0,9,44,0,7,8,"Chicago, Illinois, USA",0,John McCarthy,0,1,57,18,58,18,0,0,1,UFC on Fox: Johnson vs Dodson
Clay Guida,"January 26, 2013",2154,W,Decision,2,9,1,2,22,100,3,10,14,85,0,10,18,"Chicago, Illinois, USA",1,Robert Madrigal,0,3,112,26,136,40,0,3,6,UFC on Fox: Johnson vs Dodson
Hatsu Hioki,"January 26, 2013",2154,L,Decision,9,20,2,5,36,91,3,3,29,74,0,3,5,"Chicago, Illinois, USA",0,Robert Madrigal,0,3,99,41,138,74,1,0,0,UFC on Fox: Johnson vs Dodson
Mike Stumpf,"January 26, 2013",2155,L,Decision,16,26,12,19,51,122,0,1,26,95,0,21,21,"Chicago, Illinois, USA",2,Herb Dean,0,3,142,63,169,87,0,2,8,UFC on Fox: Johnson vs Dodson
Pascal Krauss,"January 26, 2013",2155,W,Decision,19,26,44,64,116,242,3,3,115,254,0,29,29,"Chicago, Illinois, USA",0,Herb Dean,0,3,309,163,344,197,1,1,2,UFC on Fox: Johnson vs Dodson
Ryan Bader,"January 26, 2013",2156,W,Submission,0,0,0,0,3,4,0,2,2,5,1,1,1,"Chicago, Illinois, USA",0,John McCarthy,0,1,6,3,6,3,1,0,0,UFC on Fox: Johnson vs Dodson
Vladimir Matyushenko,"January 26, 2013",2156,L,Submission,0,0,0,0,0,4,0,0,0,4,0,0,0,"Chicago, Illinois, USA",0,John McCarthy,0,1,4,0,5,1,0,0,0,UFC on Fox: Johnson vs Dodson
Mike Russow,"January 26, 2013",2157,L,KO/TKO,0,0,10,18,15,27,0,0,25,45,0,0,0,"Chicago, Illinois, USA",0,Herb Dean,0,2,45,25,51,29,0,1,6,UFC on Fox: Johnson vs Dodson
Shawn Jordan,"January 26, 2013",2157,W,KO/TKO,3,4,9,13,11,36,22,23,39,68,0,0,0,"Chicago, Illinois, USA",4,Herb Dean,0,2,72,42,88,56,0,2,2,UFC on Fox: Johnson vs Dodson
Rafael Natal,"January 26, 2013",2158,W,Submission,6,8,1,2,25,60,38,49,47,92,0,11,11,"Chicago, Illinois, USA",4,Robert Madrigal,0,3,111,64,170,122,4,4,6,UFC on Fox: Johnson vs Dodson
Sean Spencer,"January 26, 2013",2158,L,Submission,1,5,1,2,11,82,0,0,11,78,0,0,1,"Chicago, Illinois, USA",0,Robert Madrigal,0,3,84,12,86,14,0,0,0,UFC on Fox: Johnson vs Dodson
Simeon Thoresen,"January 26, 2013",2159,L,Decision,6,9,10,20,39,93,0,2,36,98,0,7,8,"Chicago, Illinois, USA",1,Herb Dean,0,3,115,49,119,52,0,1,1,UFC on Fox: Johnson vs Dodson
David Mitchell,"January 26, 2013",2159,W,Decision,7,10,6,14,41,120,13,25,52,145,0,1,4,"Chicago, Illinois, USA",1,Herb Dean,1,3,159,60,234,121,2,1,2,UFC on Fox: Johnson vs Dodson
Vitor Belfort,"January 19, 2013",2160,W,KO/TKO,6,7,1,2,12,44,5,7,12,46,1,0,0,"Sao Paulo, Brazil",0,Dan Miragliotta,0,2,53,18,54,19,0,0,0,UFC on FX: Belfort vs Bisping
Michael Bisping,"January 19, 2013",2160,L,KO/TKO,0,2,0,1,14,65,0,0,8,57,0,6,7,"Sao Paulo, Brazil",0,Dan Miragliotta,0,2,66,14,66,14,0,0,1,UFC on FX: Belfort vs Bisping
Daniel Sarafian,"January 19, 2013",2161,L,Decision,12,23,2,2,35,95,1,1,26,75,1,0,0,"Sao Paulo, Brazil",2,Mario Yamasaki,0,3,98,38,102,41,0,0,6,UFC on FX: Belfort vs Bisping
CB Dollaway,"January 19, 2013",2161,W,Decision,9,12,2,5,43,121,17,26,47,134,0,6,6,"Sao Paulo, Brazil",3,Mario Yamasaki,1,3,152,62,164,73,0,2,6,UFC on FX: Belfort vs Bisping
Gabriel Gonzaga,"January 19, 2013",2162,W,Submission,5,7,8,12,9,16,0,0,11,20,0,1,1,"Sao Paulo, Brazil",0,Marc Goddard,0,2,28,17,31,20,1,3,8,UFC on FX: Belfort vs Bisping
Ben Rothwell,"January 19, 2013",2162,L,Submission,2,2,3,5,9,22,0,0,10,25,0,0,0,"Sao Paulo, Brazil",0,Marc Goddard,0,2,27,12,32,15,0,0,0,UFC on FX: Belfort vs Bisping
Thiago Tavares,"January 19, 2013",2163,L,KO/TKO,1,2,0,0,2,10,0,0,0,7,0,1,1,"Sao Paulo, Brazil",0,Dan Miragliotta,0,1,10,2,10,2,0,0,0,UFC on FX: Belfort vs Bisping
Khabib Nurmagomedov,"January 19, 2013",2163,W,KO/TKO,0,2,0,0,5,12,17,19,22,29,1,0,0,"Sao Paulo, Brazil",1,Dan Miragliotta,0,1,31,22,31,22,0,0,0,UFC on FX: Belfort vs Bisping
Godofredo Pepey,"January 19, 2013",2164,W,Decision,5,5,4,6,26,64,6,6,18,56,0,13,15,"Sao Paulo, Brazil",2,Mario Yamasaki,1,3,76,36,153,104,0,0,1,UFC on FX: Belfort vs Bisping
Milton Vieira,"January 19, 2013",2164,L,Decision,6,6,3,3,12,28,2,3,8,25,0,3,3,"Sao Paulo, Brazil",0,Mario Yamasaki,0,3,34,17,84,58,0,5,6,UFC on FX: Belfort vs Bisping
Ronny Markes,"January 19, 2013",2165,W,Decision,1,1,1,1,3,7,1,1,3,7,0,1,1,"Sao Paulo, Brazil",3,Marc Goddard,0,3,9,5,32,28,2,2,12,UFC on FX: Belfort vs Bisping
Andrew Craig,"January 19, 2013",2165,L,Decision,7,7,6,6,5,13,9,10,12,21,0,1,1,"Sao Paulo, Brazil",1,Marc Goddard,1,3,29,20,106,90,0,0,1,UFC on FX: Belfort vs Bisping
Diego Nunes,"January 19, 2013",2166,L,Decision,4,6,3,5,13,25,2,2,12,24,0,2,2,"Sao Paulo, Brazil",0,Dan Miragliotta,0,3,32,18,33,19,0,0,0,UFC on FX: Belfort vs Bisping
Nik Lentz,"January 19, 2013",2166,W,Decision,7,7,16,17,9,21,31,36,34,51,0,15,16,"Sao Paulo, Brazil",8,Dan Miragliotta,0,3,74,56,234,205,0,10,21,UFC on FX: Belfort vs Bisping
Edson Barboza,"January 19, 2013",2167,W,KO/TKO,3,5,0,0,20,36,6,9,15,30,1,8,10,"Sao Paulo, Brazil",0,Mario Yamasaki,0,1,45,26,49,29,0,0,0,UFC on FX: Belfort vs Bisping
Lucas Martins,"January 19, 2013",2167,L,KO/TKO,2,2,0,0,12,31,0,0,9,27,0,1,2,"Sao Paulo, Brazil",0,Mario Yamasaki,0,1,31,12,31,12,0,0,0,UFC on FX: Belfort vs Bisping
Iuri Alcantara,"January 19, 2013",2168,NC,Could,3,5,0,0,6,16,14,15,17,25,0,0,1,"Sao Paulo, Brazil",3,Dan Miragliotta,0,1,31,20,38,26,1,1,1,UFC on FX: Belfort vs Bisping
Pedro Nobre,"January 19, 2013",2168,NC,Could,1,1,0,0,3,10,0,0,1,7,0,1,2,"Sao Paulo, Brazil",0,Dan Miragliotta,0,1,10,3,10,3,0,0,1,UFC on FX: Belfort vs Bisping
Wagner Prado,"January 19, 2013",2169,L,Submission,14,22,3,3,25,48,0,2,14,30,0,0,1,"Sao Paulo, Brazil",1,Mario Yamasaki,1,2,53,28,70,41,0,0,1,UFC on FX: Belfort vs Bisping
Ildemar Alcantara,"January 19, 2013",2169,W,Submission,12,17,2,3,22,52,0,0,10,36,0,2,2,"Sao Paulo, Brazil",1,Mario Yamasaki,0,2,55,24,70,39,3,2,3,UFC on FX: Belfort vs Bisping
Francisco Trinaldo,"January 19, 2013",2170,W,Submission,5,5,4,6,1,4,7,9,5,10,0,2,4,"Sao Paulo, Brazil",4,Marc Goddard,0,2,19,12,34,27,1,2,5,UFC on FX: Belfort vs Bisping
CJ Keith,"January 19, 2013",2170,L,Submission,0,1,0,0,1,7,2,2,2,6,0,1,2,"Sao Paulo, Brazil",0,Marc Goddard,1,2,9,3,11,5,0,0,1,UFC on FX: Belfort vs Bisping
Junior Dos Santos,"December 29, 2012",2171,L,Decision,25,35,14,20,43,117,0,0,32,102,0,0,0,"Las Vegas, Nevada, USA",0,Herb Dean,0,5,137,57,146,66,0,0,1,UFC 155: Dos Santos vs Velasquez II
Cain Velasquez,"December 29, 2012",2171,W,Decision,25,27,39,53,35,122,37,49,82,193,1,4,4,"Las Vegas, Nevada, USA",3,Herb Dean,0,5,224,111,339,210,0,11,33,UFC 155: Dos Santos vs Velasquez II
Jim Miller,"December 29, 2012",2172,W,Decision,19,25,27,36,57,158,7,10,61,164,0,11,15,"Las Vegas, Nevada, USA",2,Yves Lavigne,0,3,204,91,210,96,2,1,1,UFC 155: Dos Santos vs Velasquez II
Joe Lauzon,"December 29, 2012",2172,L,Decision,6,8,7,11,26,109,2,3,25,109,0,4,6,"Las Vegas, Nevada, USA",1,Yves Lavigne,1,3,123,35,128,40,3,0,1,UFC 155: Dos Santos vs Velasquez II
Tim Boetsch,"December 29, 2012",2173,L,KO/TKO,13,21,11,14,13,37,1,2,8,28,1,4,4,"Las Vegas, Nevada, USA",0,Kim Winslow,0,3,53,25,74,41,0,2,8,UFC 155: Dos Santos vs Velasquez II
Costas Philippou,"December 29, 2012",2173,W,KO/TKO,1,3,6,9,5,34,17,31,27,70,0,0,1,"Las Vegas, Nevada, USA",0,Kim Winslow,0,3,74,28,108,56,0,0,0,UFC 155: Dos Santos vs Velasquez II
Yushin Okami,"December 29, 2012",2174,W,Decision,5,5,2,3,5,26,13,15,14,38,0,1,1,"Las Vegas, Nevada, USA",8,Chris Tognoni,0,3,44,20,115,81,0,1,5,UFC 155: Dos Santos vs Velasquez II
Alan Belcher,"December 29, 2012",2174,L,Decision,0,0,0,0,6,28,0,0,4,26,0,2,2,"Las Vegas, Nevada, USA",2,Chris Tognoni,0,3,28,6,39,15,2,0,0,UFC 155: Dos Santos vs Velasquez II
Chris Leben,"December 29, 2012",2175,L,Decision,2,2,4,5,36,89,0,0,20,69,0,18,23,"Las Vegas, Nevada, USA",0,Herb Dean,0,3,94,40,164,103,0,0,0,UFC 155: Dos Santos vs Velasquez II
Derek Brunson,"December 29, 2012",2175,W,Decision,4,7,2,4,29,105,10,21,30,109,0,7,14,"Las Vegas, Nevada, USA",4,Herb Dean,0,3,130,41,174,76,1,4,13,UFC 155: Dos Santos vs Velasquez II
Brad Pickett,"December 29, 2012",2176,L,Decision,16,33,0,0,67,212,0,0,33,154,0,18,25,"Las Vegas, Nevada, USA",0,Yves Lavigne,0,3,212,67,212,67,0,0,0,UFC 155: Dos Santos vs Velasquez II
Eddie Wineland,"December 29, 2012",2176,W,Decision,7,18,0,0,90,294,0,0,83,276,1,0,0,"Las Vegas, Nevada, USA",0,Yves Lavigne,0,3,294,90,294,90,0,0,2,UFC 155: Dos Santos vs Velasquez II
Erik Perez,"December 29, 2012",2177,W,KO/TKO,13,13,16,16,3,6,21,36,23,41,1,4,4,"Las Vegas, Nevada, USA",0,Kim Winslow,0,1,58,40,72,49,0,0,0,UFC 155: Dos Santos vs Velasquez II
Byron Bloodworth,"December 29, 2012",2177,L,KO/TKO,4,5,5,6,3,5,0,0,3,5,0,1,1,"Las Vegas, Nevada, USA",0,Kim Winslow,0,1,11,8,12,9,0,0,0,UFC 155: Dos Santos vs Velasquez II
Melvin Guillard,"December 29, 2012",2178,L,Decision,10,11,3,3,49,101,5,8,31,85,0,16,16,"Las Vegas, Nevada, USA",1,Chris Tognoni,0,3,112,57,117,62,1,0,1,UFC 155: Dos Santos vs Velasquez II
Jamie Varner,"December 29, 2012",2178,W,Decision,7,12,5,11,27,86,0,0,23,83,0,2,2,"Las Vegas, Nevada, USA",0,Chris Tognoni,0,3,97,32,148,66,1,7,10,UFC 155: Dos Santos vs Velasquez II
Michael Johnson,"December 29, 2012",2179,L,Decision,1,6,1,1,5,40,0,0,2,28,0,3,7,"Las Vegas, Nevada, USA",0,Herb Dean,0,3,41,6,45,10,0,0,0,UFC 155: Dos Santos vs Velasquez II
Myles Jury,"December 29, 2012",2179,W,Decision,0,1,2,2,10,44,44,75,48,112,0,8,8,"Las Vegas, Nevada, USA",7,Herb Dean,0,3,121,56,209,125,1,3,6,UFC 155: Dos Santos vs Velasquez II
Philip De Fries,"December 29, 2012",2180,L,KO/TKO,0,1,7,8,0,5,0,0,7,12,0,0,0,"Las Vegas, Nevada, USA",0,Yves Lavigne,0,1,13,7,18,12,0,1,1,UFC 155: Dos Santos vs Velasquez II
Todd Duffee,"December 29, 2012",2180,W,KO/TKO,5,6,7,10,13,21,0,0,14,24,1,1,1,"Las Vegas, Nevada, USA",0,Yves Lavigne,0,1,31,20,33,22,0,0,0,UFC 155: Dos Santos vs Velasquez II
Leonard Garcia,"December 29, 2012",2181,L,Decision,10,24,7,12,82,346,0,1,64,320,0,15,15,"Las Vegas, Nevada, USA",1,Kim Winslow,0,3,359,89,367,92,0,2,4,UFC 155: Dos Santos vs Velasquez II
Max Holloway,"December 29, 2012",2181,W,Decision,38,61,6,7,114,261,0,1,68,193,1,14,15,"Las Vegas, Nevada, USA",0,Kim Winslow,0,3,269,120,273,122,0,0,0,UFC 155: Dos Santos vs Velasquez II
Chris Cariaso,"December 29, 2012",2182,L,Submission,10,19,5,12,34,108,0,2,19,93,0,10,10,"Las Vegas, Nevada, USA",0,Chris Tognoni,0,3,122,39,124,41,0,1,2,UFC 155: Dos Santos vs Velasquez II
John Moraga,"December 29, 2012",2182,W,Submission,8,18,5,9,21,65,0,0,15,52,0,3,4,"Las Vegas, Nevada, USA",0,Chris Tognoni,0,3,74,26,79,31,1,2,2,UFC 155: Dos Santos vs Velasquez II
Roy Nelson,"December 15, 2012",2183,W,KO/TKO,0,1,0,1,19,47,4,5,22,51,1,1,1,"Las Vegas, Nevada, USA",0,Herb Dean,0,1,53,23,53,23,0,0,1,The Ultimate Fighter 16 Finale
Matt Mitrione,"December 15, 2012",2183,L,KO/TKO,3,5,3,3,10,25,0,0,9,22,0,1,1,"Las Vegas, Nevada, USA",0,Herb Dean,0,1,28,13,28,13,0,0,0,The Ultimate Fighter 16 Finale
Colton Smith,"December 15, 2012",2184,W,Decision,1,2,4,4,4,6,7,8,3,5,0,11,11,"Las Vegas, Nevada, USA",5,Steve Mazzagatti,0,3,18,15,113,88,1,7,16,The Ultimate Fighter 16 Finale
Mike Ricci,"December 15, 2012",2184,L,Decision,2,3,0,1,5,9,4,5,6,11,0,1,1,"Las Vegas, Nevada, USA",1,Steve Mazzagatti,1,3,15,9,17,10,0,0,0,The Ultimate Fighter 16 Finale
Pat Barry,"December 15, 2012",2185,W,KO/TKO,0,1,0,0,11,13,0,2,8,11,1,3,3,"Las Vegas, Nevada, USA",1,Kim Winslow,0,2,15,11,15,11,0,0,0,The Ultimate Fighter 16 Finale
Shane del Rosario,"December 15, 2012",2185,L,KO/TKO,8,11,10,13,4,12,0,0,1,9,0,5,5,"Las Vegas, Nevada, USA",1,Kim Winslow,0,2,25,14,44,33,2,1,4,The Ultimate Fighter 16 Finale
Dustin Poirier,"December 15, 2012",2186,W,Submission,4,5,22,39,13,34,0,0,28,65,0,3,3,"Las Vegas, Nevada, USA",0,Herb Dean,0,1,73,35,76,38,1,0,2,The Ultimate Fighter 16 Finale
Jonathan Brookins,"December 15, 2012",2186,L,Submission,6,7,14,28,12,26,0,0,20,46,0,0,1,"Las Vegas, Nevada, USA",0,Herb Dean,0,1,54,26,54,26,0,0,2,The Ultimate Fighter 16 Finale
Mike Pyle,"December 15, 2012",2187,W,KO/TKO,1,2,2,6,2,4,5,7,7,14,1,1,1,"Las Vegas, Nevada, USA",0,Steve Mazzagatti,0,1,17,9,17,9,0,0,0,The Ultimate Fighter 16 Finale
James Head,"December 15, 2012",2187,L,KO/TKO,6,7,8,11,5,14,0,0,7,18,0,0,0,"Las Vegas, Nevada, USA",0,Steve Mazzagatti,0,1,25,13,27,15,0,0,0,The Ultimate Fighter 16 Finale
Johnny Bedford,"December 15, 2012",2188,W,KO/TKO,4,7,3,5,16,36,15,19,27,48,2,3,5,"Las Vegas, Nevada, USA",1,Kim Winslow,0,2,60,34,72,45,0,1,1,The Ultimate Fighter 16 Finale
Marcos Vinicius,"December 15, 2012",2188,L,KO/TKO,0,6,1,1,3,14,0,0,2,7,0,2,2,"Las Vegas, Nevada, USA",0,Kim Winslow,0,2,15,4,16,5,1,0,0,The Ultimate Fighter 16 Finale
Vinc Pichel,"December 15, 2012",2189,L,KO/TKO,0,0,0,0,0,4,0,0,0,3,0,0,1,"Las Vegas, Nevada, USA",0,Chris Tognoni,0,1,4,0,5,1,0,0,0,The Ultimate Fighter 16 Finale
Rustam Khabilov,"December 15, 2012",2189,W,KO/TKO,1,1,2,2,0,4,11,13,12,18,0,0,0,"Las Vegas, Nevada, USA",1,Chris Tognoni,0,1,19,13,25,19,0,5,6,The Ultimate Fighter 16 Finale
TJ Waldburger,"December 15, 2012",2190,W,Submission,2,2,3,3,3,5,7,9,10,14,1,1,1,"Las Vegas, Nevada, USA",0,Herb Dean,0,2,17,13,18,14,4,1,5,The Ultimate Fighter 16 Finale
Nick Catone,"December 15, 2012",2190,L,Submission,1,2,4,6,1,3,5,7,6,11,0,3,3,"Las Vegas, Nevada, USA",1,Herb Dean,1,2,16,10,20,14,0,1,2,The Ultimate Fighter 16 Finale
Reuben Duran,"December 15, 2012",2191,L,KO/TKO,3,5,3,3,5,27,0,0,4,24,0,1,1,"Las Vegas, Nevada, USA",0,Steve Mazzagatti,0,1,30,8,30,8,0,0,0,The Ultimate Fighter 16 Finale
Hugo Viana,"December 15, 2012",2191,W,KO/TKO,4,4,0,0,17,32,5,7,18,34,3,0,1,"Las Vegas, Nevada, USA",0,Steve Mazzagatti,0,1,39,22,43,26,0,0,0,The Ultimate Fighter 16 Finale
Mike Rio,"December 15, 2012",2192,W,Submission,5,5,10,13,19,52,1,2,15,50,0,10,12,"Las Vegas, Nevada, USA",5,Kim Winslow,0,3,67,30,111,67,1,4,11,The Ultimate Fighter 16 Finale
John Cofer,"December 15, 2012",2192,L,Submission,9,9,7,11,20,44,4,4,19,46,0,3,4,"Las Vegas, Nevada, USA",1,Kim Winslow,3,3,59,31,87,57,0,0,0,The Ultimate Fighter 16 Finale
Jared Papazian,"December 15, 2012",2193,L,Decision,5,7,4,6,30,87,2,4,28,87,0,3,3,"Las Vegas, Nevada, USA",1,Chris Tognoni,1,3,97,36,109,46,0,0,1,The Ultimate Fighter 16 Finale
Tim Elliott,"December 15, 2012",2193,W,Decision,7,9,4,5,27,58,5,6,26,57,1,3,3,"Las Vegas, Nevada, USA",9,Chris Tognoni,0,3,69,36,256,189,4,7,14,The Ultimate Fighter 16 Finale
George Sotiropoulos,"December 14, 2012",2194,L,KO/TKO,6,14,3,7,31,106,0,0,27,98,0,1,1,"Gold Coast, Queensland, Australia",1,Marc Goddard,0,3,113,34,114,35,0,1,6,UFC on FX: Sotiropoulos vs Pearson
Ross Pearson,"December 14, 2012",2194,W,KO/TKO,12,13,9,11,40,88,1,1,32,81,2,6,6,"Gold Coast, Queensland, Australia",0,Marc Goddard,0,3,100,50,103,53,0,0,1,UFC on FX: Sotiropoulos vs Pearson
Robert Whittaker,"December 14, 2012",2195,W,Decision,15,25,17,24,60,167,6,11,64,172,1,4,5,"Gold Coast, Queensland, Australia",0,Steve Perceval,0,3,202,83,208,89,0,0,0,UFC on FX: Sotiropoulos vs Pearson
Bradley Scott,"December 14, 2012",2195,L,Decision,18,29,11,15,42,154,2,2,29,133,0,8,9,"Gold Coast, Queensland, Australia",1,Steve Perceval,0,3,171,55,205,82,0,1,5,UFC on FX: Sotiropoulos vs Pearson
Colin Fletcher,"December 14, 2012",2196,L,Decision,10,24,2,5,54,136,0,0,21,85,0,25,32,"Gold Coast, Queensland, Australia",1,John Sharp,0,3,141,56,154,66,0,0,0,UFC on FX: Sotiropoulos vs Pearson
Norman Parke,"December 14, 2012",2196,W,Decision,6,13,1,2,35,89,6,7,29,77,0,7,8,"Gold Coast, Queensland, Australia",7,John Sharp,0,3,98,42,105,48,0,6,9,UFC on FX: Sotiropoulos vs Pearson
Hector Lombard,"December 14, 2012",2197,W,KO/TKO,1,3,2,3,15,33,7,10,23,43,2,0,0,"Gold Coast, Queensland, Australia",0,Marc Goddard,0,1,46,24,48,26,0,0,0,UFC on FX: Sotiropoulos vs Pearson
Rousimar Palhares,"December 14, 2012",2197,L,KO/TKO,2,2,0,0,6,13,0,0,0,6,0,4,5,"Gold Coast, Queensland, Australia",0,Marc Goddard,0,1,13,6,13,6,0,0,0,UFC on FX: Sotiropoulos vs Pearson
Chad Mendes,"December 14, 2012",2198,W,KO/TKO,2,2,0,0,8,11,2,2,4,6,1,4,5,"Gold Coast, Queensland, Australia",0,Steve Perceval,0,1,13,10,14,11,0,0,0,UFC on FX: Sotiropoulos vs Pearson
Yaotzin Meza,"December 14, 2012",2198,L,KO/TKO,1,2,0,0,2,15,0,0,0,10,0,1,3,"Gold Coast, Queensland, Australia",0,Steve Perceval,0,1,15,2,15,2,0,0,0,UFC on FX: Sotiropoulos vs Pearson
Igor Pokrajac,"December 14, 2012",2199,NC,Overturned,6,7,14,17,34,77,0,0,39,84,0,3,3,"Gold Coast, Queensland, Australia",0,John Sharp,0,3,94,48,111,63,0,0,2,UFC on FX: Sotiropoulos vs Pearson
Joey Beltran,"December 14, 2012",2199,NC,Overturned,22,27,45,52,20,87,0,0,32,101,0,11,11,"Gold Coast, Queensland, Australia",0,John Sharp,0,3,139,65,299,206,0,0,3,UFC on FX: Sotiropoulos vs Pearson
Mike Pierce,"December 14, 2012",2200,W,Decision,0,0,3,4,10,35,3,9,16,48,0,0,0,"Gold Coast, Queensland, Australia",1,Marc Goddard,0,3,48,16,93,51,0,6,12,UFC on FX: Sotiropoulos vs Pearson
Seth Baczynski,"December 14, 2012",2200,L,Decision,7,8,1,3,33,103,0,0,24,95,0,3,3,"Gold Coast, Queensland, Australia",0,Marc Goddard,0,3,106,34,185,94,0,0,0,UFC on FX: Sotiropoulos vs Pearson
Benny Alloway,"December 14, 2012",2201,W,KO/TKO,3,3,2,4,9,17,5,5,10,19,1,3,4,"Gold Coast, Queensland, Australia",0,Steve Perceval,0,1,26,16,28,18,0,0,0,UFC on FX: Sotiropoulos vs Pearson
Manuel Rodriguez,"December 14, 2012",2201,L,KO/TKO,0,0,0,0,4,12,0,0,4,12,0,0,0,"Gold Coast, Queensland, Australia",3,Steve Perceval,0,1,12,4,25,17,0,3,4,UFC on FX: Sotiropoulos vs Pearson
Brendan Loughnane,"December 14, 2012",2202,L,Decision,11,12,8,10,67,109,0,0,36,77,1,28,30,"Gold Coast, Queensland, Australia",0,John Sharp,0,3,119,75,142,96,0,0,2,UFC on FX: Sotiropoulos vs Pearson
Mike Wilkinson,"December 14, 2012",2202,W,Decision,9,10,7,12,45,145,2,2,29,124,0,16,25,"Gold Coast, Queensland, Australia",0,John Sharp,0,3,159,54,240,119,0,1,12,UFC on FX: Sotiropoulos vs Pearson
Nick Penner,"December 14, 2012",2203,L,KO/TKO,1,1,1,3,5,12,1,3,6,17,1,0,0,"Gold Coast, Queensland, Australia",1,Marc Goddard,0,1,18,7,37,23,0,0,0,UFC on FX: Sotiropoulos vs Pearson
Cody Donovan,"December 14, 2012",2203,W,KO/TKO,9,10,8,9,6,11,5,7,9,16,1,1,1,"Gold Coast, Queensland, Australia",1,Marc Goddard,0,1,27,19,44,31,0,1,1,UFC on FX: Sotiropoulos vs Pearson
Benson Henderson,"December 08, 2012",2204,W,Decision,29,33,31,37,26,51,67,110,63,126,1,32,39,"Seattle, Washington, USA",3,Herb Dean,0,5,198,124,259,183,0,8,12,UFC on Fox: Henderson vs Diaz
