name,date,fight_id,win/loss,method,body,body_attempts,clinch,clinch_attempts,distance,distance_attempts,ground,ground_attempts,head,head_attempts,knockdowns,leg,leg_attempts,location,pass,referee,reversals,round,sig_attempts,sig_strikes,strike_attempts,strikes,sub_attempts,takedowns,td_attempts,title
Henry Cejudo,"September 09, 2017",22,W,KO/TKO,7,8,2,3,24,41,8,14,24,47,1,3,3,"Edmonton, Alberta, Canada",0,Jerin Valel,0,2,58,34,64,39,0,2,2,UFC 215: Nunes vs Shevchenko 2
Wilson Reis,"September 09, 2017",22,L,KO/TKO,0,0,0,0,5,25,0,0,4,24,0,1,1,"Edmonton, Alberta, Canada",0,Jerin Valel,0,2,25,5,25,5,0,0,1,UFC 215: Nunes vs Shevchenko 2
Ilir Latifi,"September 09, 2017",23,W,Decision,5,5,4,6,13,38,27,35,38,73,0,1,1,"Edmonton, Alberta, Canada",4,Dan Miragliotta,0,3,79,44,94,59,0,4,5,UFC 215: Nunes vs Shevchenko 2
Tyson Pedro,"September 09, 2017",23,L,Decision,8,12,8,9,21,43,2,2,12,25,0,11,17,"Edmonton, Alberta, Canada",0,Dan Miragliotta,0,3,54,31,68,44,0,0,0,UFC 215: Nunes vs Shevchenko 2
Jeremy Stephens,"September 09, 2017",24,W,Decision,11,18,7,10,79,229,10,11,53,197,5,32,35,"Edmonton, Alberta, Canada",1,Jerin Valel,0,3,250,96,255,101,0,0,0,UFC 215: Nunes vs Shevchenko 2
Gilbert Melendez,"September 09, 2017",24,L,Decision,1,4,2,2,27,124,0,3,27,122,0,1,3,"Edmonton, Alberta, Canada",0,Jerin Valel,0,3,129,29,130,30,0,0,0,UFC 215: Nunes vs Shevchenko 2
Sara McMann,"September 09, 2017",25,L,Submission,2,3,9,11,1,9,19,38,25,52,0,2,3,"Edmonton, Alberta, Canada",2,Yves Lavigne,0,2,58,29,67,36,0,1,5,UFC 215: Nunes vs Shevchenko 2
Ketlen Vieira,"September 09, 2017",25,W,Submission,1,1,14,14,0,4,3,3,16,20,0,0,0,"Edmonton, Alberta, Canada",1,Yves Lavigne,0,2,21,17,45,35,2,1,1,UFC 215: Nunes vs Shevchenko 2
Sarah Moras,"September 09, 2017",26,W,Submission,0,0,0,1,0,1,3,4,2,5,0,1,1,"Edmonton, Alberta, Canada",0,Yves Lavigne,0,1,6,3,9,5,1,0,1,UFC 215: Nunes vs Shevchenko 2
Ashlee Evans-Smith,"September 09, 2017",26,L,Submission,2,4,2,4,0,4,1,1,1,5,0,0,0,"Edmonton, Alberta, Canada",1,Yves Lavigne,0,1,9,3,11,5,0,0,0,UFC 215: Nunes vs Shevchenko 2
Gavin Tucker,"September 09, 2017",27,L,Decision,5,8,9,15,12,64,2,3,14,69,0,4,5,"Edmonton, Alberta, Canada",0,Kyle Cardinal,0,3,82,23,105,43,1,0,4,UFC 215: Nunes vs Shevchenko 2
Rick Glenn,"September 09, 2017",27,W,Decision,40,47,23,39,31,68,88,130,96,182,1,6,8,"Edmonton, Alberta, Canada",1,Kyle Cardinal,0,3,237,142,289,184,1,4,7,UFC 215: Nunes vs Shevchenko 2
Mitch Clarke,"September 09, 2017",28,L,KO/TKO,8,19,10,13,18,69,0,1,11,41,0,9,23,"Edmonton, Alberta, Canada",0,Jerin Valel,0,2,83,28,90,34,0,0,4,UFC 215: Nunes vs Shevchenko 2
Alex White,"September 09, 2017",28,W,KO/TKO,10,13,28,37,28,75,1,3,46,100,3,1,2,"Edmonton, Alberta, Canada",0,Jerin Valel,0,2,115,57,122,62,0,0,0,UFC 215: Nunes vs Shevchenko 2
Luis Henrique,"September 09, 2017",29,L,Decision,9,14,6,13,26,101,0,0,18,95,0,5,5,"Edmonton, Alberta, Canada",0,Dan Miragliotta,0,3,114,32,137,54,0,0,0,UFC 215: Nunes vs Shevchenko 2
Arjan Bhullar,"September 09, 2017",29,W,Decision,1,2,5,8,14,34,5,8,23,48,1,0,0,"Edmonton, Alberta, Canada",1,Dan Miragliotta,0,3,50,24,96,60,0,1,1,UFC 215: Nunes vs Shevchenko 2
Kajan Johnson,"September 09, 2017",30,W,KO/TKO,12,21,0,0,24,61,2,2,7,29,1,7,13,"Edmonton, Alberta, Canada",0,John McCarthy,0,3,63,26,63,26,0,0,0,UFC 215: Nunes vs Shevchenko 2
