body,body_attempts,clinch,clinch_attempts,date,distance,distance_attempts,fight_id,ground,ground_attempts,head,head_attempts,kd,leg,leg_attempts,location,method,name,pass,referee,reversals,round,sig_attempts,sig_strikes,strike_attempts,strikes,sub_attempts,takedowns,td_attempts,title,win/loss
1,1,0,0,"September 09, 2017",1,1,21,12,15,11,14,0,1,1,"Edmonton, Alberta, Canada",Submission,ERROR,3,Yves Lavigne,0,1,16,13,21,17,1,0,0,UFC 215: Nunes vs Shevchenko 2,ERROR
7,8,2,3,"September 09, 2017",24,41,22,8,14,24,47,1,3,3,"Edmonton, Alberta, Canada",KO/TKO,ERROR,0,Jerin Valel,0,2,58,34,64,39,0,2,2,UFC 215: Nunes vs Shevchenko 2,ERROR
0,0,0,0,"September 09, 2017",5,25,22,0,0,4,24,0,1,1,"Edmonton, Alberta, Canada",KO/TKO,ERROR,0,Jerin Valel,0,2,25,5,25,5,0,0,1,UFC 215: Nunes vs Shevchenko 2,ERROR
5,5,4,6,"September 09, 2017",13,38,23,27,35,38,73,0,1,1,"Edmonton, Alberta, Canada",Decision,ERROR,4,Dan Miragliotta,0,3,79,44,94,59,0,4,5,UFC 215: Nunes vs Shevchenko 2,ERROR
8,12,8,9,"September 09, 2017",21,43,23,2,2,12,25,0,11,17,"Edmonton, Alberta, Canada",Decision,ERROR,0,Dan Miragliotta,0,3,54,31,68,44,0,0,0,UFC 215: Nunes vs Shevchenko 2,ERROR
11,18,7,10,"September 09, 2017",79,229,24,10,11,53,197,5,32,35,"Edmonton, Alberta, Canada",Decision,ERROR,1,Jerin Valel,0,3,250,96,255,101,0,0,0,UFC 215: Nunes vs Shevchenko 2,ERROR
1,4,2,2,"September 09, 2017",27,124,24,0,3,27,122,0,1,3,"Edmonton, Alberta, Canada",Decision,ERROR,0,Jerin Valel,0,3,129,29,130,30,0,0,0,UFC 215: Nunes vs Shevchenko 2,ERROR
2,3,9,11,"September 09, 2017",1,9,25,19,38,25,52,0,2,3,"Edmonton, Alberta, Canada",Submission,ERROR,2,Yves Lavigne,0,2,58,29,67,36,0,1,5,UFC 215: Nunes vs Shevchenko 2,ERROR
1,1,14,14,"September 09, 2017",0,4,25,3,3,16,20,0,0,0,"Edmonton, Alberta, Canada",Submission,ERROR,1,Yves Lavigne,0,2,21,17,45,35,2,1,1,UFC 215: Nunes vs Shevchenko 2,ERROR
0,0,0,1,"September 09, 2017",0,1,26,3,4,2,5,0,1,1,"Edmonton, Alberta, Canada",Submission,ERROR,0,Yves Lavigne,0,1,6,3,9,5,1,0,1,UFC 215: Nunes vs Shevchenko 2,ERROR
2,4,2,4,"September 09, 2017",0,4,26,1,1,1,5,0,0,0,"Edmonton, Alberta, Canada",Submission,ERROR,1,Yves Lavigne,0,1,9,3,11,5,0,0,0,UFC 215: Nunes vs Shevchenko 2,ERROR
5,8,9,15,"September 09, 2017",12,64,27,2,3,14,69,0,4,5,"Edmonton, Alberta, Canada",Decision,ERROR,0,Kyle Cardinal,0,3,82,23,105,43,1,0,4,UFC 215: Nunes vs Shevchenko 2,ERROR
40,47,23,39,"September 09, 2017",31,68,27,88,130,96,182,1,6,8,"Edmonton, Alberta, Canada",Decision,ERROR,1,Kyle Cardinal,0,3,237,142,289,184,1,4,7,UFC 215: Nunes vs Shevchenko 2,ERROR
8,19,10,13,"September 09, 2017",18,69,28,0,1,11,41,0,9,23,"Edmonton, Alberta, Canada",KO/TKO,ERROR,0,Jerin Valel,0,2,83,28,90,34,0,0,4,UFC 215: Nunes vs Shevchenko 2,ERROR
10,13,28,37,"September 09, 2017",28,75,28,1,3,46,100,3,1,2,"Edmonton, Alberta, Canada",KO/TKO,ERROR,0,Jerin Valel,0,2,115,57,122,62,0,0,0,UFC 215: Nunes vs Shevchenko 2,ERROR
9,14,6,13,"September 09, 2017",26,101,29,0,0,18,95,0,5,5,"Edmonton, Alberta, Canada",Decision,ERROR,0,Dan Miragliotta,0,3,114,32,137,54,0,0,0,UFC 215: Nunes vs Shevchenko 2,ERROR
1,2,5,8,"September 09, 2017",14,34,29,5,8,23,48,1,0,0,"Edmonton, Alberta, Canada",Decision,ERROR,1,Dan Miragliotta,0,3,50,24,96,60,0,1,1,UFC 215: Nunes vs Shevchenko 2,ERROR
12,21,0,0,"September 09, 2017",24,61,30,2,2,7,29,1,7,13,"Edmonton, Alberta, Canada",KO/TKO,ERROR,0,John McCarthy,0,3,63,26,63,26,0,0,0,UFC 215: Nunes vs Shevchenko 2,ERROR
0,0,0,0,"September 09, 2017",16,31,30,0,0,8,21,0,8,10,"Edmonton, Alberta, Canada",KO/TKO,ERROR,0,John McCarthy,0,3,31,16,31,16,1,0,0,UFC 215: Nunes vs Shevchenko 2,ERROR
18,27,3,11,"September 02, 2017",114,214,31,18,28,84,178,1,33,48,"Rotterdam, Zuid-Holland, Netherlands",KO/TKO,ERROR,1,Marc Goddard,0,3,253,135,264,144,0,2,2,UFC Fight Night: Volkov vs. Struve,ERROR
8,27,0,0,"September 02, 2017",41,162,31,0,0,26,125,0,7,10,"Rotterdam, Zuid-Holland, Netherlands",KO/TKO,ERROR,0,Marc Goddard,0,3,162,41,162,41,0,0,0,UFC Fight Night: Volkov vs. Struve,ERROR
7,7,14,16,"September 02, 2017",18,43,32,11,22,36,74,3,0,0,"Rotterdam, Zuid-Holland, Netherlands",KO/TKO,ERROR,0,Leon Roberts,0,2,81,43,82,44,1,0,0,UFC Fight Night: Volkov vs. Struve,ERROR
4,6,2,3,"September 02, 2017",22,43,32,0,0,11,30,0,9,10,"Rotterdam, Zuid-Holland, Netherlands",KO/TKO,ERROR,0,Leon Roberts,0,2,46,24,58,34,0,2,5,UFC Fight Night: Volkov vs. Struve,ERROR
9,10,10,11,"September 02, 2017",24,68,33,23,48,47,116,0,1,1,"Rotterdam, Zuid-Holland, Netherlands",KO/TKO,ERROR,2,Kevin Sataki,1,3,127,57,192,118,5,0,0,UFC Fight Night: Volkov vs. Struve,ERROR
4,5,1,1,"September 02, 2017",18,83,33,3,4,11,75,0,7,8,"Rotterdam, Zuid-Holland, Netherlands",KO/TKO,ERROR,2,Kevin Sataki,0,3,88,22,112,38,1,3,7,UFC Fight Night: Volkov vs. Struve,ERROR
3,4,2,2,"September 02, 2017",21,49,34,0,0,13,40,0,7,7,"Rotterdam, Zuid-Holland, Netherlands",Decision,ERROR,5,Neil Hall,0,3,51,23,87,58,3,3,6,UFC Fight Night: Volkov vs. Struve,ERROR
9,10,23,24,"September 02, 2017",17,56,34,4,7,28,65,1,7,12,"Rotterdam, Zuid-Holland, Netherlands",Decision,ERROR,0,Neil Hall,0,3,87,44,163,115,1,0,0,UFC Fight Night: Volkov vs. Struve,ERROR
1,1,1,1,"September 02, 2017",32,67,35,16,19,42,79,0,6,7,"Rotterdam, Zuid-Holland, Netherlands",Decision,ERROR,0,Marc Goddard,0,3,87,49,88,50,0,1,1,UFC Fight Night: Volkov vs. Struve,ERROR
