title,link,date,location
UFC Fight Night: Nelson vs. Ponzinibbio,http://www.fightmetric.com/fight-details/7e7fba47f511f8ad,"July 16, 2017","Glasgow, Scotland, United Kingdom"
UFC Fight Night: Nelson vs. Ponzinibbio,http://www.fightmetric.com/fight-details/a0909aab15ba53c5,"July 16, 2017","Glasgow, Scotland, United Kingdom"
UFC Fight Night: Nelson vs. Ponzinibbio,http://www.fightmetric.com/fight-details/2fef7ac78df0cccc,"July 16, 2017","Glasgow, Scotland, United Kingdom"
UFC Fight Night: Nelson vs. Ponzinibbio,http://www.fightmetric.com/fight-details/d49d2c810583a56a,"July 16, 2017","Glasgow, Scotland, United Kingdom"
UFC 213: Romero vs. Whittaker,http://www.fightmetric.com/fight-details/06cd9812e2b9b747,"July 08, 2017","Las Vegas, Nevada, USA"
UFC 213: Romero vs. Whittaker,http://www.fightmetric.com/fight-details/b67229e7675eed24,"July 08, 2017","Las Vegas, Nevada, USA"
UFC 213: Romero vs. Whittaker,http://www.fightmetric.com/fight-details/cf4c2b601c2228aa,"July 08, 2017","Las Vegas, Nevada, USA"
UFC 213: Romero vs. Whittaker,http://www.fightmetric.com/fight-details/1f49b59e4058568f,"July 08, 2017","Las Vegas, Nevada, USA"
UFC 213: Romero vs. Whittaker,http://www.fightmetric.com/fight-details/a5a065cb6d33ba9e,"July 08, 2017","Las Vegas, Nevada, USA"
UFC 213: Romero vs. Whittaker,http://www.fightmetric.com/fight-details/00b801e7e1679f2f,"July 08, 2017","Las Vegas, Nevada, USA"
UFC 213: Romero vs. Whittaker,http://www.fightmetric.com/fight-details/19eed5d9781b47ac,"July 08, 2017","Las Vegas, Nevada, USA"
UFC 213: Romero vs. Whittaker,http://www.fightmetric.com/fight-details/323fb015ca2444e3,"July 08, 2017","Las Vegas, Nevada, USA"
UFC 213: Romero vs. Whittaker,http://www.fightmetric.com/fight-details/9298175cb2ad7d41,"July 08, 2017","Las Vegas, Nevada, USA"
UFC 213: Romero vs. Whittaker,http://www.fightmetric.com/fight-details/1645ed92dcdc5c03,"July 08, 2017","Las Vegas, Nevada, USA"
UFC 213: Romero vs. Whittaker,http://www.fightmetric.com/fight-details/e1100fc357e61fba,"July 08, 2017","Las Vegas, Nevada, USA"
The Ultimate Fighter 25 Finale,http://www.fightmetric.com/fight-details/0d5356c506111a57,"July 07, 2017","Las Vegas, Nevada, USA"
The Ultimate Fighter 25 Finale,http://www.fightmetric.com/fight-details/5934de85b9c53e7c,"July 07, 2017","Las Vegas, Nevada, USA"
The Ultimate Fighter 25 Finale,http://www.fightmetric.com/fight-details/6f836a82a0530884,"July 07, 2017","Las Vegas, Nevada, USA"
The Ultimate Fighter 25 Finale,http://www.fightmetric.com/fight-details/e97b609eefc5fd61,"July 07, 2017","Las Vegas, Nevada, USA"
The Ultimate Fighter 25 Finale,http://www.fightmetric.com/fight-details/6ec0a046de95fe16,"July 07, 2017","Las Vegas, Nevada, USA"
The Ultimate Fighter 25 Finale,http://www.fightmetric.com/fight-details/3e5a3ecd2b123fc2,"July 07, 2017","Las Vegas, Nevada, USA"
The Ultimate Fighter 25 Finale,http://www.fightmetric.com/fight-details/c94c3e4bbed24421,"July 07, 2017","Las Vegas, Nevada, USA"
The Ultimate Fighter 25 Finale,http://www.fightmetric.com/fight-details/c7c7be3b0d65a7da,"July 07, 2017","Las Vegas, Nevada, USA"
The Ultimate Fighter 25 Finale,http://www.fightmetric.com/fight-details/7f3bd3b913df61f4,"July 07, 2017","Las Vegas, Nevada, USA"
The Ultimate Fighter 25 Finale,http://www.fightmetric.com/fight-details/f0ac3761d3fdda3e,"July 07, 2017","Las Vegas, Nevada, USA"
The Ultimate Fighter 25 Finale,http://www.fightmetric.com/fight-details/88c2da7b33cca8d4,"July 07, 2017","Las Vegas, Nevada, USA"
UFC Fight Night: Chiesa vs. Lee,http://www.fightmetric.com/fight-details/7013a95ea4014606,"June 25, 2017","Oklahoma City, Oklahoma, USA"
UFC Fight Night: Chiesa vs. Lee,http://www.fightmetric.com/fight-details/0ad57af26ddc7930,"June 25, 2017","Oklahoma City, Oklahoma, USA"
UFC Fight Night: Chiesa vs. Lee,http://www.fightmetric.com/fight-details/bd59c07a106d331b,"June 25, 2017","Oklahoma City, Oklahoma, USA"
UFC Fight Night: Chiesa vs. Lee,http://www.fightmetric.com/fight-details/ae5c7517d9f2516c,"June 25, 2017","Oklahoma City, Oklahoma, USA"
UFC Fight Night: Chiesa vs. Lee,http://www.fightmetric.com/fight-details/b53fd8bce62aa1c6,"June 25, 2017","Oklahoma City, Oklahoma, USA"
UFC Fight Night: Chiesa vs. Lee,http://www.fightmetric.com/fight-details/3a4d2a933a3c7291,"June 25, 2017","Oklahoma City, Oklahoma, USA"
